listing_id,date
1591,2021-09-13
41168,2013-07-04
41168,2013-08-25
41168,2013-08-30
41168,2014-07-01
41168,2014-08-23
41168,2014-08-26
41168,2014-08-28
41168,2014-08-31
41168,2014-09-02
41168,2014-09-20
41168,2015-07-03
41168,2015-07-11
41168,2015-08-03
41168,2015-08-04
41168,2015-08-22
41168,2016-07-31
41168,2016-08-10
41168,2016-08-15
41168,2017-07-04
41168,2020-08-30
41168,2021-04-05
41168,2021-04-17
41168,2021-04-18
41168,2021-04-20
41168,2021-04-22
41168,2021-04-25
41168,2021-07-04
41168,2021-07-07
41168,2021-07-20
41168,2021-07-21
41168,2021-07-26
41168,2021-08-02
41168,2021-08-07
41168,2021-08-11
41168,2021-08-12
41168,2021-08-14
41168,2021-08-18
41168,2021-08-22
41168,2021-08-27
41168,2021-09-01
41168,2021-09-28
47421,2010-10-25
47421,2010-11-14
47421,2010-11-23
47421,2011-04-10
47421,2011-05-14
47421,2011-06-12
47421,2011-06-18
47421,2011-07-01
47421,2011-07-24
47421,2011-12-20
47421,2012-01-08
47421,2012-06-08
47421,2012-06-11
47421,2012-08-08
47421,2013-07-09
47421,2013-07-23
47421,2014-01-02
47421,2014-02-20
47421,2014-06-24
47421,2014-07-22
47421,2014-08-13
47421,2014-09-14
47421,2015-01-06
47421,2015-01-12
47421,2015-04-20
47421,2015-05-19
47421,2015-06-21
47421,2015-07-12
47421,2015-07-22
47421,2015-07-27
47421,2015-08-15
47421,2015-09-06
47421,2015-09-21
47421,2015-12-26
47421,2016-02-21
47421,2016-03-30
47421,2016-05-23
47421,2016-06-02
47421,2016-06-08
47421,2016-07-06
47421,2016-07-25
47421,2016-09-26
47421,2016-11-11
47421,2017-07-09
47421,2017-07-26
47421,2017-08-13
47421,2017-10-09
47421,2018-02-12
47421,2018-06-16
47421,2018-06-26
47421,2018-07-13
47421,2018-08-01
47421,2018-11-13
47421,2019-07-02
47421,2019-08-06
47421,2019-09-11
47421,2020-08-16
47421,2020-09-10
47421,2021-08-01
54423,2015-06-15
54423,2015-06-28
54423,2015-07-12
54423,2015-08-20
54423,2015-08-28
54423,2015-09-07
54423,2015-09-15
54423,2015-10-29
54423,2016-01-17
54423,2016-04-02
54423,2016-04-12
54423,2016-05-11
54423,2016-05-23
54423,2016-06-03
54423,2016-06-18
54423,2016-07-02
54423,2016-07-17
54423,2016-09-28
54423,2016-10-10
54423,2016-10-19
54423,2016-10-29
54423,2017-03-30
54423,2017-04-05
54423,2017-04-22
54423,2017-04-29
54423,2017-05-14
54423,2017-05-27
54423,2017-06-11
54423,2017-06-22
54423,2017-08-08
54423,2017-08-15
54423,2017-08-23
54423,2017-09-04
54423,2017-09-26
54423,2017-10-05
54423,2017-10-19
54423,2017-11-11
54423,2017-11-18
54423,2018-01-31
54423,2018-03-31
54423,2018-04-22
54423,2018-05-27
54423,2018-06-23
54423,2018-06-30
54423,2018-09-08
54423,2018-09-19
54423,2018-10-03
54423,2018-10-31
54423,2018-11-10
54423,2018-11-30
54423,2019-03-31
54423,2019-07-04
54423,2019-08-14
54423,2019-09-02
54423,2019-09-07
54423,2019-09-30
54423,2019-10-23
54423,2019-11-18
54423,2020-02-29
54423,2020-12-11
54423,2021-02-28
54423,2021-08-22
116831,2017-01-22
116831,2017-01-23
116831,2017-01-26
116831,2017-01-29
116831,2017-02-01
116831,2017-02-05
116831,2017-02-07
116831,2017-02-09
116831,2017-02-12
116831,2017-02-15
116831,2017-02-19
116831,2017-02-21
116831,2017-02-23
116831,2017-04-01
116831,2017-04-02
116831,2017-04-04
116831,2017-04-09
116831,2017-04-17
116831,2017-04-20
116831,2017-04-23
116831,2017-04-27
116831,2017-04-29
116831,2017-04-30
116831,2017-05-04
116831,2017-05-09
116831,2017-05-13
116831,2017-05-14
116831,2017-05-18
116831,2017-05-19
116831,2017-05-31
116831,2017-06-07
116831,2017-06-09
116831,2017-06-17
116831,2017-06-18
116831,2017-06-23
116831,2017-06-24
116831,2017-06-28
116831,2017-07-01
116831,2017-07-03
116831,2017-07-04
