id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14350374,Willow Tree - No Cleaning Fee,36890064,Elaine And Les,Sooke,Sooke,48.37267,-123.73165,Entire home/apt,125,3,87,2019-09-06,1.43,1,184,8,
14370227,Sea Haven in East Sooke,57054552,Sarah & Bruce,Juan de Fuca,Juan de Fuca,48.37496,-123.68753,Entire home/apt,62,1,331,2021-09-20,6.13,1,265,93,
14376348,"One bedroom, king bed, private bathroom, #00036280",88239666,Dianne And My Pup Murphy,Victoria,James Bay,48.42051,-123.37872,Entire home/apt,104,1,491,2021-03-22,7.89,2,247,84,
14405900,Oak Bay Ocean Suite,30992752,Nikki,Oak Bay,Oak Bay,48.41211,-123.31952,Entire home/apt,100,2,17,2020-10-31,0.27,2,179,2,
14415548,Quiet cottage near ocean,88687273,Xiaojun,Sooke,Sooke,48.35529,-123.73453,Entire home/apt,298,2,94,2019-08-03,1.86,1,0,3,
14483482,Beautiful suite in Fairfield,89336283,Kelly,Victoria,Gonzales,48.41184,-123.33054,Private room,125,2,84,2021-09-07,2.12,1,349,13,
14489972,"Bright, Family Friendly, Stylish Character Home",20090459,Julia,Saanich,Saanich,48.48175,-123.41433,Entire home/apt,325,7,21,2019-08-20,0.41,1,0,0,
14504406,#20     Newly-remodeled condo on Hillside Avenue,3827344,Jose,Victoria,Oaklands,48.44271,-123.34049,Entire home/apt,250,28,8,2020-12-04,0.16,22,196,1,
14571691,Saanichton Waterfront Home with superb views,28105168,Amarjit,Central Saanich,Central Saanich,48.60639,-123.39339,Private room,195,3,49,2020-02-19,1.52,2,323,10,
14587928,Dragonflies,90310108,Allen,Metchosin,Metchosin,48.34889,-123.54608,Entire home/apt,86,3,78,2019-12-01,1.98,1,51,16,
14604644,1bdr condo downtown Victoria  - The Era,23299370,Laura,Victoria,Downtown,48.4254,-123.36236,Entire home/apt,204,3,25,2019-11-21,0.47,5,148,3,
14608811,"Quiet Victorian Home, 5 min. drive to downtown",90652661,Andrew,Victoria,Fernwood,48.42878,-123.34258,Entire home/apt,499,7,95,2020-11-20,1.86,2,111,5,
14617132,Sidney By the Sea,90726114,Terry And Ginny,Sidney,Sidney,48.64706,-123.40003,Entire home/apt,121,30,47,2020-01-12,1.19,2,182,1,
14617209,Cozy Upstairs Apartment with Bright Skylights,869947,Jenny & Clay,Saanich,Saanich,48.46286,-123.36661,Entire home/apt,75,2,355,2021-02-06,5.74,1,130,44,
14634799,Paradise Found!,76478951,Richard,Victoria,Gonzales,48.41866,-123.32986,Entire home/apt,150,28,2,2019-01-13,0.05,1,0,0,
14638694,beautiful and quiet (small 1),69262852,Ling,Saanich,Saanich,48.4823,-123.3352,Private room,60,2,18,2020-08-31,0.48,2,1,0,
14653715,Bright Suite close to  Mount Doug Park and U-Vic,90637293,Monika,Saanich,Saanich,48.491,-123.33663,Entire home/apt,99,3,47,2019-08-25,0.81,1,160,8,
14654214,Executive 2 bedroom Condo,34124544,Wendy,Victoria,Downtown,48.42862,-123.36234,Entire home/apt,200,2,337,2021-07-14,5.82,1,123,46,
14711707,Central Victoria A,91333416,Jan,Victoria,Downtown,48.427,-123.369,Entire home/apt,139,3,39,2019-08-04,1.03,9,326,0,
14711708,Songhees Suite at the Union,91333416,Jan,Victoria,Downtown,48.42934,-123.36881,Entire home/apt,135,3,44,2019-08-08,1.66,9,272,0,
14711709,Cedar Suite at the Union,91333416,Jan,Victoria,Downtown,48.42924,-123.36877,Entire home/apt,135,2,55,2019-09-23,1.10,9,229,0,
14711710,Central Victoria B,91333416,Jan,Victoria,Downtown,48.427,-123.369,Entire home/apt,139,2,36,2019-09-02,0.92,9,282,0,
14788387,Elysium Retreat - Your Own Waterfront Property,92345815,Derek,Juan de Fuca,Juan de Fuca,48.37275,-123.63467,Entire home/apt,149,2,129,2021-05-30,2.55,1,7,31,
14789140,1 Bedroom  Suite - Waterfront private beach/dock,92157994,Sarah,Central Saanich,Central Saanich,48.57617,-123.46554,Entire home/apt,260,2,107,2019-12-10,1.97,2,119,14,
14789951,Beach  and Ocean  Private room,34183269,Suzanne,Metchosin,Metchosin,48.38816,-123.4994,Private room,132,1,0,,,2,194,0,
14807938,Family Friendly!,48439865,Vashti,Saanich,Saanich,48.52915,-123.37333,Entire home/apt,96,2,254,2020-09-30,6.31,1,123,26,
14819187,Beautiful ground floor suite by Uptown Victoria,91681554,Beca,Saanich,Saanich,48.45036,-123.38166,Entire home/apt,250,1,48,2021-09-15,1.26,1,360,9,
14840135,Heart of Downtown Victoria (clean & comfortable),82883135,Warren,Victoria,Downtown,48.42863,-123.36649,Entire home/apt,156,5,135,2019-12-20,2.72,1,86,12,
14844413,2 Bedroom Suite - Waterfront private beach/dock,92157994,Sarah,Central Saanich,Central Saanich,48.5776,-123.46596,Entire home/apt,249,2,118,2021-07-18,3.21,2,93,17,
14860444,Westwind Sanctuary,390486990,Rachel,Langford,Langford,48.44884,-123.48467,Entire home/apt,145,2,43,2021-09-06,1.04,1,292,7,
14871976,Victorian Suite - Near University of Victoria,57689777,Kaori,Saanich,Saanich,48.46595,-123.3402,Entire home/apt,85,28,49,2020-10-13,0.88,2,160,10,
14892145,Beautiful Saanich Cottage,93438222,Steve,Saanich,Saanich,48.52674,-123.41842,Entire home/apt,110,3,150,2020-02-17,2.78,2,154,27,
14912799,Ocean View King Bed Parking Fireplace Tea/Coffee++,58658923,Marie,Esquimalt,Esquimalt,48.4307,-123.40355,Entire home/apt,15,2,42,2019-08-11,0.69,1,0,0,
14927889,Two Storey Heritage Penthouse,93848731,Graham And Wendy,Victoria,Downtown,48.42754,-123.36624,Entire home/apt,195,7,15,2019-12-27,0.30,1,194,0,
14952116,Colwood Cosy Cottage,92486329,Sarah,Colwood,Colwood,48.42151,-123.49168,Entire home/apt,90,2,58,2020-11-11,0.95,1,125,8,
14953094,Bear Mountain Getaway,94123085,Heather,Langford,Langford,48.47708,-123.52502,Private room,125,1,101,2021-07-20,1.67,1,338,20,
14966485,"Spectacular Ocean View Cottage, Port Renfrew",54136559,Denise,Juan de Fuca,Juan de Fuca,48.55404,-124.41595,Entire home/apt,252,1,127,2021-09-07,3.78,1,237,31,
15026125,Rosie's Studio,74541020,Trish,Salt Spring Island,Salt Spring Island,48.7501,-123.46017,Entire home/apt,203,2,156,2021-04-04,2.54,1,341,36,
15028324,One bedroom suite near university and beach,92570487,Celia,Saanich,Saanich,48.47003,-123.29461,Entire home/apt,85,2,68,2021-03-30,1.86,1,28,10,
15040911,Astoria Cozy-Beautiful Studio Condo in the Heart of Downtown Victoria,40529437,Victoria Prime Services,Victoria,Downtown,48.42073,-123.36362,Entire home/apt,135,3,50,2019-09-19,0.97,40,182,7,
15086474,Blue Sky Retreat,95475864,Doug & Rick,Colwood,Colwood,48.41725,-123.51147,Entire home/apt,112,2,189,2021-06-25,29.08,1,269,45,
15101547,"Modern condo- great location, skyline +ocean views",95628043,Darla,Victoria,Downtown,48.43033,-123.36745,Entire home/apt,131,2,167,2021-08-04,3.26,1,305,27,
15109059,Sidney The Place,90726114,Terry And Ginny,Sidney,Sidney,48.64871,-123.40009,Entire home/apt,121,30,93,2020-03-24,3.71,2,183,0,
15110263,Victoria Garden Suite,21468224,Logan,Victoria,Fairfield,48.41415,-123.34678,Entire home/apt,101,28,50,2021-06-15,0.89,4,157,8,
15127623,Cozy converted Barn near Orchard,59069557,Christy,Saanich,Saanich,48.53543,-123.41526,Entire home/apt,180,2,83,2021-09-06,2.07,1,148,7,
15151262,Luxury heritage downtown condo 40% off long term,37449412,David,Victoria,Downtown,48.42869,-123.3668,Entire home/apt,178,30,223,2021-07-09,4.40,1,78,4,
15158242,Peaceful Heritage Home at Elk Lake,96168636,Jacqueline Ruth  (Jacky),Saanich,Saanich,48.52983,-123.38624,Entire home/apt,90,3,164,2019-10-06,3.19,2,143,10,
15160430,Sooke Cedar House - Everett Suite,96184204,Gerry And Debbie,Sooke,Sooke,48.38973,-123.6473,Entire home/apt,159,2,101,2019-11-17,1.88,2,240,14,
15161155,Sooke Cedar House - Aletheia Suite,96184204,Gerry And Debbie,Sooke,Sooke,48.38772,-123.64766,Entire home/apt,189,2,106,2019-11-24,3.69,2,241,24,
15167803,"""THE OASIS"" - Modern Downtown 1 Bedroom Condo",86896676,Maggie And Daniel,Victoria,Downtown,48.42216,-123.36618,Entire home/apt,110,1,196,2019-11-30,3.72,1,0,0,
15256969,Fish 'n surf cottage.,97039222,Ernie,Juan de Fuca,Juan de Fuca,48.55743,-124.406,Entire home/apt,235,2,110,2019-09-11,2.14,1,348,12,
15268338,The Cottage at Sugarland Farm,23721354,Gunther And Cheryl,Salt Spring Island,Salt Spring Island,48.87652,-123.5636,Entire home/apt,150,2,146,2020-01-30,2.40,1,263,8,
15296700,#19 - Boutique 1 bedroom apartment - sleeps  4.,3827344,Jose,Victoria,Oaklands,48.444,-123.34002,Entire home/apt,150,28,10,2021-09-11,0.17,22,281,3,
15300899,House room(s) shared 5 minutes from downtown.,90652661,Andrew,Victoria,Fernwood,48.42844,-123.34258,Private room,399,7,6,2017-02-26,0.10,2,108,0,
15356911,"Light-filled, quiet spacious  4 bed 2 bath Suite",4238599,Jean,Saanich,Saanich,48.45504,-123.34267,Entire home/apt,260,1,31,2019-08-19,0.51,2,152,0,
15396995,Book Same Day Solo Guest Discount 1 Bed On Busline,72142618,Linda,Sooke,Sooke,48.39238,-123.63621,Entire home/apt,65,1,17,2019-12-20,0.46,2,146,0,
15406109,Oasis for families Affordable Luxury Privacy Yard!,7449764,Fernanda,Saanich,Saanich,48.49016,-123.32294,Entire home/apt,220,2,10,2019-07-14,0.17,1,152,1,
15423675,Colquitz Garden Suite,98515827,Zenon,Saanich,Saanich,48.45568,-123.41237,Entire home/apt,143,1,215,2020-03-14,4.14,2,0,36,
15431131,Renovated Suite in the Heart of Historic Fernwood,772201,Michael,Victoria,Fernwood,48.43546,-123.33898,Entire home/apt,90,30,51,2021-05-01,1.02,1,151,13,
15599184,An Oasis Close to Everything!,89576926,Angela,View Royal,View Royal,48.4675,-123.45639,Entire home/apt,92,2,166,2019-08-25,4.51,1,0,1,
15630192,Salish Seaview Suite,2375062,John,Victoria,Oaklands,48.43793,-123.34907,Entire home/apt,255,28,2,2017-05-28,2,5,269,1,
15634561,The Napoleon Suite - 2BD/1BA - Heart of Downtown,19980320,Radie,Victoria,Downtown,48.42668,-123.36274,Entire home/apt,174,2,27,2019-09-22,0.66,20,126,5,
15642981,Christmas Hill Cottage with a Private Room,78468109,John & Janis,Saanich,Saanich,48.47697,-123.37518,Private room,98,1,30,2018-08-12,0.50,2,133,0,
15759885,"Cozy suite, short walk to Sidney main St. & beach",17129074,Sandy,Sidney,Sidney,48.64717,-123.39656,Entire home/apt,89,5,49,2019-12-29,0.89,1,133,11,
15788110,Beautiful character suite in garden setting,3687769,Troy,Esquimalt,Esquimalt,48.43249,-123.40386,Entire home/apt,169,4,6,2021-09-27,0.81,7,174,6,
15792611,"Mulberry Cottage, Hot-tub, Self-Contained, Quaint",14387287,Jo-Ann,Saanich,Saanich,48.52052,-123.38348,Entire home/apt,135,2,18,2019-08-24,0.37,1,30,0,
15854110,New 2bd/2BA Condo in the Heart of Downtown,7693415,Jordan,Victoria,Downtown,48.42699,-123.36431,Entire home/apt,235,1,74,2021-09-19,2.66,7,304,12,
15854483,Victoria Harbour Waterfront Loft at the Janion,9376982,Jason,Victoria,Downtown,48.42994,-123.36939,Entire home/apt,89,1,310,2020-03-12,6.80,3,276,55,
15894612,Home Away From Home,96364309,Heung SANG Leah,Saanich,Saanich,48.48468,-123.33665,Entire home/apt,98,1,166,2020-02-20,4.46,1,27,0,
15971553,Globetrekkers Airbnb,33670151,David & Christina,Sooke,Sooke,48.37754,-123.73364,Entire home/apt,99,2,97,2019-12-01,1.83,1,147,18,
16005639,"Huge, peaceful room w/king size bed.",35310800,Laurel,Saanich,Saanich,48.48367,-123.33739,Private room,51,2,52,2019-07-09,2.01,2,67,5,
16012047,Quiet Romantic Getaway,104110742,Robert,Juan de Fuca,Juan de Fuca,48.55562,-124.41529,Entire home/apt,165,2,114,2021-09-02,4.19,1,321,28,
16017201,Saanichton home,50384825,Ed,Central Saanich,Central Saanich,48.59853,-123.41736,Entire home/apt,75,89,0,,,1,0,0,
16018717,Charming and Self Contained Garden House Oak Bay,11611074,Stephanie And Rene,Oak Bay,Oak Bay,48.41567,-123.3167,Entire home/apt,86,3,245,2019-11-28,4.41,1,81,5,
16019546,2 BR Downtown Modern Condo! King Bed! Parking!,9153672,Co-Hosts,Victoria,Downtown,48.42829,-123.36793,Entire home/apt,191,2,209,2021-09-06,4.15,37,0,27,
16026913,Clean and Comfortable Private Room,82526885,Emuobo,Colwood,Colwood,48.4349,-123.49432,Private room,50,1,60,2021-09-02,7.44,2,357,60,
16032929,The Covehouse - a secluded oceanfront cottage,104310878,Loki & Kara,Sooke,Sooke,48.38311,-123.6358,Entire home/apt,295,3,265,2021-01-14,5.22,1,24,45,
16041624,Downtown Victoria 2bed/2Bath Loft Condo,7693415,Jordan,Victoria,Downtown,48.43071,-123.36649,Entire home/apt,220,1,130,2020-02-23,4.79,7,296,11,
16069378,ROYAL BAY GUEST SUITE,14615879,Linda,Colwood,Colwood,48.41152,-123.49762,Entire home/apt,110,2,63,2018-09-24,2.35,1,108,0,
16120388,Bright Modern Loft in Hertiage Building,90483448,Stef,Victoria,Downtown,48.42753,-123.36853,Entire home/apt,131,2,135,2020-03-17,3.55,2,349,23,
16148474,Rockland Haven,96364385,Philip,Victoria,Rockland,48.42265,-123.34426,Entire home/apt,100,30,244,2021-09-07,4.64,1,19,11,
16164267,Beautiful room near uVic,75296525,Grainne,Oak Bay,Oak Bay,48.45325,-123.32024,Private room,50,3,45,2019-06-15,1.19,2,271,9,
16164992,Charming OakBay/Willows Beach Suite with parking,32746078,Trudy,Oak Bay,Oak Bay,48.43341,-123.31143,Entire home/apt,105,3,125,2019-08-11,4.44,1,5,14,
16231036,Cozy brick and beam loft and 1bd.,61443773,Michael,Victoria,Downtown,48.428,-123.36847,Entire home/apt,197,3,238,2019-12-28,4.85,2,316,25,
16284198,Cliff Pagoda group retreat fall special,50495175,Richard,Southern Gulf Islands,Southern Gulf Islands,48.89217,-123.38986,Private room,650,3,49,2019-08-05,1.26,2,341,8,
16303785,Winter Storms or Time Out,106675962,John,Juan de Fuca,Juan de Fuca,48.5567,-124.40539,Entire home/apt,275,2,8,2018-10-08,0.17,1,0,0,
16334351,Friendly Funky Fairfield Character Home,106930393,Barbara,Victoria,Rockland,48.41649,-123.33912,Private room,110,2,3,2019-08-25,0.06,1,0,0,
16351547,Penthouse Shiraz at the Villa Marco Polo Inn,107043919,Diana,Victoria,Rockland,48.42284,-123.33725,Hotel room,316,2,0,,,5,0,0,
16392413,Alexandria Suite at the Villa Marco Polo Inn,107043919,Diana,Victoria,Rockland,48.42312,-123.33694,Hotel room,252,2,0,,,5,292,0,
16393618,Zanzibar Suite at the Villa Marco Polo Inn,107043919,Diana,Victoria,Rockland,48.42165,-123.33874,Hotel room,309,2,1,2017-06-18,0.02,5,250,0,
16393802,Persia Suite at the Villa Marco Polo Inn,107043919,Diana,Victoria,Rockland,48.42142,-123.33694,Hotel room,309,2,1,2017-11-05,0.02,5,306,0,
16407331,Harbourside B&B (1Br Apartment),107497175,Sandra,Salt Spring Island,Salt Spring Island,48.8607,-123.46697,Private room,181,2,125,2019-08-20,2.16,2,0,0,
16427710,"Private cozy condo in James Bay, Victoria",36765245,Mitch,Victoria,James Bay,48.41366,-123.37444,Entire home/apt,100,5,125,2019-12-28,2.27,1,45,17,
16441044,Harbourside B&B (Private Room),107497175,Sandra,Salt Spring Island,Salt Spring Island,48.8604,-123.46757,Private room,157,2,68,2019-09-04,1.25,2,0,0,
16462107,Beautiful Downtown Condo in The Union,108007938,David,Victoria,Downtown,48.42812,-123.36898,Entire home/apt,148,1,334,2019-12-29,5.85,2,89,38,
16482112,Urban Oasis Home By The Sea,49635557,Miriam,Victoria,Gonzales,48.41653,-123.3321,Entire home/apt,292,2,33,2020-10-15,0.59,8,53,9,
16483051,Happy Travellers Suite (with Private Entrance),78105367,Maria,Sidney,Sidney,48.64063,-123.40936,Entire home/apt,135,1,430,2021-09-13,8.62,1,1,33,
16489485,Stunning downtown waterfront micro-loft,36897806,Daria,Victoria,Downtown,48.42986,-123.3711,Entire home/apt,106,30,127,2019-10-14,3.42,1,29,4,
16499619,Downtown Inner Harbour Heritage Suite,29653820,Jennifer,Victoria,Downtown,48.42808,-123.37,Entire home/apt,255,2,239,2021-09-01,6.37,1,0,27,
16530192,#23   Belmont Ave. in Fernwood Area,3827344,Jose,Victoria,Fernwood,48.43256,-123.3383,Entire home/apt,250,30,4,2020-11-09,0.08,22,207,1,
16546295,"Bright  Waterfront Studio, ENJOY!",21693078,Nicolas,Victoria,Downtown,48.42975,-123.37067,Entire home/apt,78,1,241,2021-09-18,241,1,330,96,
16548110,Heritage Cityside,59399479,Dianne,Victoria,Victoria West,48.43673,-123.38576,Private room,57,2,93,2019-10-27,1.85,1,0,1,
16553994,Westcoast Getaway with Scenic Views,93231791,Dave & Amanda,Metchosin,Metchosin,48.3575,-123.59045,Entire home/apt,215,2,78,2020-11-03,1.41,2,264,29,
16571066,Maple Lodge Cottage-Pet Friendly inquire,109176313,Sandy,Southern Gulf Islands,Southern Gulf Islands,48.9301,-123.45624,Entire home/apt,150,2,112,2019-11-30,2.06,1,57,28,
16572163,"Zen room, James Bay #00036280",88239666,Dianne And My Pup Murphy,Victoria,James Bay,48.41992,-123.37842,Private room,77,1,491,2021-09-09,9.29,2,286,102,
16579028,Oasis Garden Home By the Sea,49635557,Miriam,Victoria,Gonzales,48.41777,-123.33052,Entire home/apt,268,2,76,2020-08-31,3.05,8,60,12,
16599081,"Luxury waterfront home, stunning view",109495815,Richard,Juan de Fuca,Juan de Fuca,48.55624,-124.41827,Entire home/apt,248,2,43,2019-11-30,0.77,1,278,7,
16600880,Curious Crow B&B Bedroom #3-maybe shared bathroom.,90501423,Marc & Wendy,Salt Spring Island,Salt Spring Island,48.87677,-123.54795,Private room,105,1,129,2019-09-30,5.17,3,7,26,
16633401,Modern Apartment in the Heart of the City,109875056,Cory & Nicole,Victoria,Downtown,48.42923,-123.36933,Entire home/apt,125,1,360,2021-09-07,7.30,3,341,64,
16645899,James Bay apartment 2 minutes to the beach,45146835,Annelies,Victoria,James Bay,48.41517,-123.38062,Entire home/apt,80,28,39,2018-07-15,0.76,1,36,0,
16666031,Sweet lil’ Suite,110229737,Colleen,Langford,Langford,48.42688,-123.53052,Entire home/apt,100,1,39,2018-12-29,0.69,1,354,8,
16673476,Curious Crow B&B bedroom #2 - maybe bathroom share,90501423,Marc & Wendy,Salt Spring Island,Salt Spring Island,48.87677,-123.54795,Private room,105,1,94,2019-08-24,1.80,3,0,1,
16675549,Curious Crow B&B Bedroom #1,90501423,Marc & Wendy,Salt Spring Island,Salt Spring Island,48.87677,-123.54795,Private room,105,1,106,2019-06-29,2.00,3,9,20,
16783551,Charming Fairfield Retreat,61043955,Alayne,Victoria,Fairfield,48.40983,-123.3498,Entire home/apt,120,30,105,2021-07-31,3.72,1,157,4,
16813313,Brand new waterfront suite in the heart of town,9693554,Aaron,Victoria,Downtown,48.42858,-123.36964,Entire home/apt,122,30,133,2021-04-06,2.36,1,100,5,
16813498,Rare Waterfront Studio Downtown Victoria,110161919,Carol & Skip,Victoria,Downtown,48.4278,-123.36868,Entire home/apt,198,1,268,2021-06-03,5.10,1,297,62,
16825468,Sunrise Oceans Edge,111954941,Barbara,Southern Gulf Islands,Southern Gulf Islands,48.83273,-123.24825,Private room,120,2,48,2021-03-17,0.85,2,149,25,
16841248,Luxurious French Stye Cottage with gardens,31428158,Kathleen,Saanich,Saanich,48.54599,-123.4376,Entire home/apt,250,3,17,2021-08-09,0.31,1,300,3,
16843631,Private and cozy Queen room - ocean and town,65263853,Ruma,Sooke,Sooke,48.37557,-123.72141,Private room,90,3,43,2021-08-25,0.86,2,360,17,
16845931,Castle in the Sky,96200217,Seymour,Central Saanich,Central Saanich,48.56709,-123.46375,Entire home/apt,314,4,69,2019-10-13,1.27,1,313,10,
16847317,Historic City Hall,112187879,"Carolyn, Marlene And Kevin",Victoria,Downtown,48.42852,-123.36446,Entire home/apt,130,2,207,2021-02-07,4.09,1,197,25,
16856795,Bright above ground 2 bedroom suite with patio,42640859,Jan,Victoria,Fernwood,48.42826,-123.34565,Entire home/apt,100,2,36,2018-05-28,0.69,1,25,2,
16857207,Sea of Serenity+ Scrupulously Clean Always & Tray,10970299,Tanya,Juan de Fuca,Juan de Fuca,48.37339,-123.84058,Entire home/apt,169,2,147,2019-11-24,3.05,3,136,25,
16892875,Waterfront Microloft in the Heart of Victoria,182984554,Kimia,Victoria,Downtown,48.42949,-123.36955,Entire home/apt,76,2,394,2020-01-13,7.71,1,108,52,
16918742,Private MASTER BEDROOM & BALCONY,111074550,Lipton,Saanich,Saanich,48.44975,-123.40791,Private room,102,1,60,2019-07-18,1.22,18,2,6,
16944128,温馨家园,41072223,David,Saanich,Saanich,48.48773,-123.36863,Entire home/apt,239,5,91,2018-07-29,1.68,3,365,7,
16961244,Sweet Sea Castaway - steps from Fisherman's Wharf!,113416810,Karen,Victoria,James Bay,48.42195,-123.38033,Private room,65,2,135,2021-08-29,3.29,2,334,21,
16961355,Nature's Chef Tipi,12713439,Tom,Sooke,Sooke,48.37041,-123.75134,Entire home/apt,299,1,20,2018-07-22,0.39,1,86,5,
16986135,Peaceful character home. Available for long term,38049683,Stasi,Victoria,North Park,48.43256,-123.35804,Private room,75,1,117,2020-01-03,2.30,2,29,0,
16999783,Art Loft @ the Historic Leiser near DT Harbour,45680661,Angela,Victoria,Downtown,48.42696,-123.36916,Entire home/apt,144,1,295,2021-09-03,6.88,16,212,47,
17042755,Downtown Living @ the Falls,10684295,Westshore,Victoria,Downtown,48.42279,-123.36421,Entire home/apt,185,3,22,2019-10-08,0.76,1,104,8,
17044104,Urban Pleasure +parking,38299135,Grace,Victoria,North Park,48.42807,-123.35905,Entire home/apt,143,2,98,2021-01-05,1.92,6,230,30,
17047239,#22 Fabulous 4 Bedroom 3 Bath home in Broadmead,3827344,Jose,Saanich,Saanich,48.50194,-123.36819,Entire home/apt,375,30,10,2018-06-23,0.34,22,282,2,
17098472,Sweet Suite by the Park,114753102,Elise And Trevor,Langford,Langford,48.46978,-123.48824,Entire home/apt,70,14,116,2020-08-10,2.13,1,0,4,
17109065,Garden oasis on Bear Mountain Resort,84794290,Gloria & Mark,Langford,Langford,48.46477,-123.51107,Entire home/apt,250,3,16,2020-08-20,0.32,1,212,3,
17123261,Villa Johanne Port Renfrew Cottage,29855006,Mike,Juan de Fuca,Juan de Fuca,48.55444,-124.415,Entire home/apt,136,1,116,2021-08-09,8.23,3,284,30,
17123490,Port O'Pierre Port Renfrew Cottage,29855006,Mike,Juan de Fuca,Juan de Fuca,48.55444,-124.415,Entire home/apt,136,1,86,2019-07-07,2.96,3,0,16,
17125236,Pandora's Sojourn in ❤ of old town Victoria 38357,113319045,Dawn & Mark,Victoria,Downtown,48.42964,-123.37051,Entire home/apt,116,1,568,2021-09-08,10.49,1,79,120,
17134652,Beautiful Luxury Home Bear Mtn Resort Victoria,115179138,Darren And Stephanie,Langford,Langford,48.4757,-123.52583,Entire home/apt,586,3,49,2020-09-13,1.07,1,306,9,
17154598,Quiet and Charming Top Floor Apartment,69206079,Morgan And Nick,Saanich,Saanich,48.45001,-123.40503,Entire home/apt,107,2,121,2021-09-05,2.23,1,14,19,
17156474,Waterfront Log Cottage on serene Long Harbour,959399,Diane,Salt Spring Island,Salt Spring Island,48.85543,-123.45697,Entire home/apt,257,7,104,2021-03-08,1.87,1,109,27,
17159254,Waterfront Indulgent Cottage with everything!,7746854,Maxine,Southern Gulf Islands,Southern Gulf Islands,48.80027,-123.31277,Entire home/apt,200,3,19,2017-04-06,0.38,1,0,6,
17175894,"Modern spacious townhome, minutes from downtown!",16466778,Max,Victoria,Victoria West,48.43007,-123.37739,Entire home/apt,120,30,28,2020-02-10,0.55,1,333,0,
17189542,Luxury Studio apt. Uvic Area.10 min from downtown,45406794,Barbara,Saanich,Saanich,48.46066,-123.32407,Entire home/apt,149,1,154,2019-12-01,2.92,2,207,9,
17190515,Lois's Place,64561744,Darren,Victoria,Burnside,48.44043,-123.37289,Entire home/apt,65,28,30,2018-09-22,0.58,1,146,5,
17207952,"Castaway in James Bay, BC!",113416810,Karen,Victoria,James Bay,48.42176,-123.38192,Entire home/apt,149,5,23,2019-11-15,0.88,2,0,4,
17226357,Romantic Old World Modern with Inner Harbour Views,26388248,Ryan & Erin,Victoria,Downtown,48.428661,-123.370331,Entire home/apt,154,1,292,2021-09-13,7.30,1,281,60,
17234815,Cozy South End Room - Galiano Island,4400386,Matze And Dean,Southern Gulf Islands,Southern Gulf Islands,48.8688,-123.35391,Entire home/apt,68,2,215,2020-07-26,4.20,1,274,30,
17266566,Aloha Victoria - Ocean Views & Hot Tub,115827962,Liz & Mike,Colwood,Colwood,48.41793,-123.47798,Entire home/apt,157,1,250,2021-08-20,6.56,1,330,97,
17268271,"Waterfront, Downtown, underground security parking",89308754,Cyril,Victoria,Downtown,48.42797,-123.36958,Entire home/apt,148,1,238,2020-02-23,4.68,3,0,29,
17285957,Cambridge By the Sea,164393,Colleen,Victoria,Fairfield,48.40976,-123.35494,Entire home/apt,100,30,4,2020-07-04,0.08,1,154,0,
17300773,"1 Bdrm, 1 Ba Condo - Short Walk To Ocean/Downtown",116724513,Norm & Shena,Victoria,James Bay,48.41921,-123.37755,Entire home/apt,90,29,4,2021-05-31,0.08,1,181,1,
17311954,Spectacular Oceanfront Cottage - 5 star views!,12571838,Leah,Juan de Fuca,Juan de Fuca,48.55588,-124.41642,Entire home/apt,212,1,151,2020-03-10,5.91,1,326,33,
17331320,Centrally located Oak Bay family home!,23038424,Zoitsa,Oak Bay,Oak Bay,48.45211,-123.31643,Entire home/apt,130,7,6,2021-03-31,0.13,1,281,1,
17334708,Affordable Treetops Suite  With Breathtaking Views,97036,Jen,Salt Spring Island,Salt Spring Island,48.84047,-123.49846,Entire home/apt,126,2,39,2019-08-01,0.80,1,157,23,
17349799,Quiet room w/comfy bed & great workspace,35310800,Laurel,Saanich,Saanich,48.4792,-123.33458,Private room,41,2,21,2018-08-03,0.40,2,182,3,
17364959,Gorge Vista Getaway ... A Million Dollar View!,117330517,Kelea & Gord,Saanich,Saanich,48.4488,-123.40548,Entire home/apt,146,2,90,2021-09-06,2.41,1,277,16,
17367159,Coles Bay Vacation Retreat - Deluxe Queen Room,22933162,Karey,North Saanich,North Saanich,48.63297,-123.46264,Private room,140,1,11,2017-09-16,0.21,3,152,3,
17389639,Cozy home in the woods! Room two,64916120,Sandi,Southern Gulf Islands,Southern Gulf Islands,48.90736,-123.38033,Private room,60,2,0,,,3,0,0,
17389686,Cozy home in the woods! Room one,64916120,Sandi,Southern Gulf Islands,Southern Gulf Islands,48.90876,-123.38116,Private room,69,2,1,2017-08-19,0.02,3,0,0,
17436065,#26 Central Avenue in Oak Bay - sleeps up to 10.,3827344,Jose,Oak Bay,Oak Bay,48.41577,-123.31137,Entire home/apt,350,30,13,2018-05-28,0.33,22,183,0,
17448716,Spacious Family Apartment @ Horner Park,20631911,Louis & Tasha,Saanich,Saanich,48.46229,-123.32638,Entire home/apt,379,2,84,2019-08-31,2.10,5,146,16,
17459274,Independent Entrance Cottage near Uvic,118218427,Ting Hsia,Saanich,Saanich,48.48007,-123.33734,Entire home/apt,84,1,94,2020-01-22,2.32,1,332,41,
